window_ns,ber,energy_pj,window_ns
24.0,0.625,116.29339859677015,24.0
24.0,0.625,118.94190472150679,24.0
24.0,0.8125,153.31049269384258,24.0
24.0,0.625,122.18754679716808,24.0
24.0,0.75,135.68335203840354,24.0
24.0,0.5625,109.55525913307791,24.0
24.0,0.4375,78.427448123444,24.0
24.0,0.75,138.66618367774274,24.0
24.0,0.5,95.13447597839615,24.0
24.0,0.6875,127.01733518007183,24.0
24.0,0.6875,130.622530974706,24.0
24.0,0.5,98.4217041528772,24.0
24.0,0.75,135.73788575757237,24.0
24.0,0.5625,104.7669795061226,24.0
24.0,0.9375,173.1037721402339,24.0
24.0,0.75,136.30493789710147,24.0
24.0,0.6875,123.96459461591195,24.0
24.0,0.8125,151.8725818423508,24.0
24.0,0.625,115.72336440308284,24.0
24.0,0.625,114.64064967272456,24.0
24.0,0.625,117.89479263372351,24.0
24.0,0.625,113.28247362912451,24.0
24.0,0.875,162.0458532486331,24.0
24.0,0.625,115.64971144418163,24.0
24.0,0.5,93.28003585922521,24.0
24.0,0.8125,151.8673361989567,24.0
24.0,0.4375,82.253442513122,24.0
24.0,0.5625,109.6025943073516,24.0
24.0,0.625,113.13372954812233,24.0
24.0,0.75,137.17113533535357,24.0
24.0,0.5,98.9246021437392,24.0
24.0,0.625,119.58237518641319,24.0
24.0,0.75,142.7353573294711,24.0
24.0,0.625,115.362273487572,24.0
24.0,0.6875,127.15136139105967,24.0
24.0,0.75,135.35433438088057,24.0
24.0,0.625,120.28710508488182,24.0
24.0,0.6875,130.8207940018334,24.0
24.0,0.5,93.4729804430581,24.0
24.0,0.625,116.81956825249813,24.0
24.0,0.6875,128.50066303753553,24.0
24.0,0.5625,109.20782722910334,24.0
24.0,0.75,142.63916838366342,24.0
24.0,0.75,142.6437091019416,24.0
24.0,0.4375,86.84271735581382,24.0
24.0,0.4375,84.9919929550992,24.0
24.0,0.75,145.9615594542599,24.0
24.0,0.8125,157.38610583880296,24.0
24.0,0.75,136.47406450702877,24.0
24.0,0.5625,110.8245850648729,24.0
24.0,0.8125,153.27541578687035,24.0
24.0,0.6875,129.65841866579458,24.0
24.0,0.75,139.5416969148201,24.0
24.0,0.5625,108.82815662168532,24.0
24.0,0.625,116.75305760041167,24.0
24.0,0.5625,103.31688232131218,24.0
24.0,0.5,96.59759901539546,24.0
24.0,0.8125,147.5418151692935,24.0
24.0,0.8125,149.38812267773727,24.0
24.0,0.8125,153.10255976441047,24.0
24.0,0.3125,60.497618467968465,24.0
24.0,0.8125,150.80477747992714,24.0
24.0,0.75,139.01194246630936,24.0
24.0,0.6875,134.98488102072648,24.0
24.0,0.5625,107.55158656609711,24.0
24.0,0.5,97.12248095202986,24.0
24.0,0.5,91.45614957792502,24.0
24.0,0.5625,100.95799447139144,24.0
24.0,0.75,137.45869953265895,24.0
24.0,0.8125,154.08828482355582,24.0
24.0,0.5625,107.13644700304087,24.0
24.0,0.4375,79.35135746336614,24.0
24.0,0.625,117.64351943979533,24.0
24.0,0.6875,127.7055009164093,24.0
24.0,0.6875,127.83695357548764,24.0
24.0,0.625,121.57752014211167,24.0
24.0,0.875,161.2650005327772,24.0
24.0,0.625,117.20324624244596,24.0
24.0,0.875,161.65526931361717,24.0
24.0,0.5625,103.56555375441918,24.0
24.0,0.75,139.68925311269786,24.0
24.0,0.75,136.2901643814016,24.0
24.0,0.6875,131.6039574436633,24.0
24.0,0.6875,130.45247794005857,24.0
24.0,0.375,72.46316220137629,24.0
24.0,0.8125,152.85492009004662,24.0
24.0,0.5625,102.70340202020452,24.0
24.0,0.625,119.99461161076648,24.0
24.0,0.6875,127.40743175727998,24.0
24.0,0.75,139.6711228918796,24.0
24.0,0.5,95.7367088909007,24.0
24.0,0.4375,84.21299651216148,24.0
24.0,0.5625,107.29853838007762,24.0
24.0,0.6875,133.28404903802,24.0
24.0,0.75,141.22058860992863,24.0
24.0,0.8125,154.44571941943605,24.0
24.0,0.5625,103.13218015565592,24.0
24.0,0.625,120.00047968606489,24.0
24.0,0.4375,80.82877225962115,24.0
24.0,0.8125,156.5844248845177,24.0
24.0,0.625,117.1575753086294,24.0
24.0,0.5,94.34721634569787,24.0
24.0,0.4375,84.56394966978387,24.0
24.0,0.4375,82.95297416258244,24.0
24.0,0.8125,150.59002291448084,24.0
24.0,0.75,130.97289632407228,24.0
24.0,0.75,134.46430984664738,24.0
24.0,0.5,96.51200007514669,24.0
24.0,0.5,89.67537810111077,24.0
24.0,0.625,113.92483100224507,24.0
24.0,0.6875,132.4444815834672,24.0
24.0,0.6875,127.05571785520418,24.0
24.0,0.625,116.29270708271535,24.0
24.0,0.6875,131.04411973449703,24.0
24.0,1.0,186.04972653900705,24.0
