sat_I_sat,ber,energy_pj,window_ns
0.5,0.6875,31.929952926664697,7.987861983139087
0.5,0.5,35.36116759702277,7.997229306929615
0.5,0.4375,39.73664545979603,8.015912619698002
0.5,0.5625,31.715502449175126,7.99334891827972
0.5,0.8125,21.375047847379456,7.991101783637813
0.5,0.625,30.216991693695505,7.998704696140626
0.5,0.5625,38.42855989470163,7.999912506032434
0.5,0.6875,30.385856079876564,8.010261562807722
0.5,0.625,29.82961094673286,8.009532048834913
0.5,0.375,41.25368925368365,8.01002909868948
0.5,0.6875,34.90264642295329,7.997552528261968
0.5,0.625,33.04332366151497,8.003206019563548
0.5,0.875,19.186302728928634,8.010200734164298
0.5,0.6875,30.272452598863715,7.994677285933786
0.5,0.8125,32.74168917687599,8.005560278747597
0.5,0.625,30.462740646835545,7.991843685663534
0.5,0.5625,39.49846113098088,8.000165017574144
0.5,0.75,32.29657533094557,7.994211782784133
0.5,0.5625,34.349988390073996,7.994866312311839
0.5,0.625,32.374652919989664,8.020360182121712
0.5,0.625,26.356066216670804,7.994960048916365
0.5,0.5625,35.01334898978075,8.001447470471675
0.5,0.5625,33.61128777546635,7.9802956679619665
0.5,0.75,31.156902566635413,8.009111258440443
0.5,0.75,30.13413840137426,7.999845960629493
0.5,0.5625,32.19900022041929,7.99361905532326
0.5,0.5,35.31215716873059,8.01451587371846
0.5,0.6875,29.74113709861973,7.992086479329245
0.5,0.4375,34.88816892986247,7.997668916700215
0.5,0.625,29.84851872469146,7.997582285042013
0.5,0.8125,31.00430193425699,8.01928332944467
0.5,0.75,32.56909882945247,8.00225942694089
0.5,0.6875,27.778266722895655,7.997292895789622
0.5,0.75,33.264885135926626,8.000243930698629
0.5,0.8125,30.212259609650456,8.007491231719365
0.5,0.5,40.52295935758392,7.999708276570011
0.5,0.6875,31.79136547478344,7.997055850794418
0.5,0.75,24.64410002437205,8.019738110352804
0.5,0.75,35.84043315511035,7.998357642176131
0.5,0.875,32.62634609016304,7.989453757886663
0.5,0.6875,27.95805423592577,7.99300172575302
0.5,0.625,35.701231870097786,7.989601558996142
0.5,0.5,33.50547871154813,7.978979601640102
0.5,0.5625,32.418316988910775,7.998429976872279
0.5,0.8125,34.39440742545492,7.995279130635865
0.5,0.6875,37.70038808848357,7.993472526889189
0.5,0.75,23.223812380790044,7.998877979144332
0.5,0.6875,29.920720985780747,7.988665956999672
0.5,0.5,33.96154829426915,8.002679191243502
0.5,0.875,35.75620709633437,8.007142792376934
0.5,0.875,32.99021307323941,8.017976998377948
0.5,0.6875,30.862850038079046,8.007649005552683
0.5,0.75,40.25131247671311,8.013725442840972
0.5,0.625,32.27613029690025,8.008580272441492
0.5,0.6875,26.519647627827656,8.017291532286864
0.5,0.75,36.223325561584,8.025990281447905
0.5,0.5625,38.0822601718379,8.017672952381554
0.5,0.5,38.91757079795491,8.000308106817492
0.5,0.75,30.67827605265137,8.018300491631535
0.5,0.75,31.417283118795197,7.992656632252222
0.5,0.6875,28.660238437080963,7.995318382647737
0.5,0.8125,34.42232015470119,8.000316139548577
0.5,0.6875,28.946242282223093,8.000857222752414
0.5,0.5625,30.26376863036656,7.998112291448734
0.5,0.625,32.09961494523777,7.994244849787245
0.5,0.8125,27.50728692600466,8.001090039895796
0.5,0.5625,39.676869798617474,8.003341126329836
0.5,0.625,32.605978417864335,7.988273342907332
0.5,0.5625,27.964544127493646,7.997333603776903
0.5,0.75,26.178715016552346,7.990672167339699
0.5,0.6875,34.95780247113648,8.00614895616248
0.5,0.5625,35.666090048376674,7.998176512022438
0.5,0.625,32.04159664891531,8.010945482752335
0.5,0.875,30.358393527840164,7.990859706436531
0.5,0.5625,29.5538544607745,8.004357524435841
0.5,0.75,32.82813434180428,8.005224548612095
0.5,0.75,30.276389608141553,8.006854393017617
0.5,0.6875,29.837636822936528,7.992577846197744
0.5,0.4375,31.68371418632693,7.992376708143807
0.5,0.875,23.11590763885516,8.010378782289026
0.5,0.625,26.864612289181707,7.99988130469322
0.5,0.5625,32.16707513843514,7.99639539909853
0.5,0.625,31.48366733030885,8.01260717282979
0.5,0.5,34.27690356885874,8.0215175897518
0.5,0.375,39.666976836536264,7.990564491803756
0.5,0.5,39.17299253301934,7.992834640211704
0.5,0.75,40.862028278306326,7.992596769108882
0.5,0.6875,27.494270492983407,8.014056916228062
