trial,ber,energy_pj,window_ns
123,0.375,54.594932817903576,10.007649005552683
124,0.125,75.57056735020647,10.013725442840972
125,0.3125,58.10988665317623,10.008580272441492
126,0.375,45.80625523145756,10.017291532286864
127,0.25,65.58705051351808,10.025990281447905
128,0.1875,71.78417018832306,10.017672952381554
129,0.125,73.52041969318944,10.000308106817492
130,0.375,55.32730086042311,10.018300491631535
131,0.3125,56.09180822960174,9.992656632252222
132,0.4375,51.61502296348688,9.995318382647737
133,0.25,63.18011929416191,10.000316139548577
134,0.375,50.776044028766634,10.000857222752414
135,0.375,53.49767508432335,9.998112291448734
136,0.3125,59.921736473845,9.994244849787245
137,0.4375,47.99879955319548,10.001090039895796
138,0.125,74.47421396863413,10.003341126329836
139,0.3125,58.877384660736816,9.988273342907332
140,0.4375,49.935777078821296,9.997333603776903
141,0.4375,46.32106520612851,9.9906721673397
142,0.25,64.17440064044685,10.00614895616248
143,0.25,65.27324802543643,9.998176512022438
144,0.3125,57.353770319969314,10.010945482752335
145,0.375,53.1758809402534,9.990859706436531
146,0.375,52.80202086056004,10.004357524435841
147,0.3125,59.10025083386046,10.005224548612095
148,0.375,53.645070157553754,10.006854393017617
149,0.375,51.808092910442596,9.992577846197744
150,0.3125,57.37184347208718,9.992376708143807
151,0.5625,39.52040407237393,10.010378782289026
152,0.4375,47.16449343288623,9.99988130469322
153,0.3125,57.24596260866141,9.99639539909853
154,0.3125,57.68525557353322,10.01260717282979
155,0.25,63.09316604678092,10.0215175897518
156,0.125,75.63889517750322,9.990564491803756
157,0.125,73.36000846447155,9.992834640211704
158,0.125,76.40997954934674,9.992596769108882
159,0.4375,47.55289524553106,10.014056916228062
160,0.375,55.23279530743967,9.983252811344052
161,0.5,42.490144637716725,9.990073373427718
162,0.4375,48.10927335065978,10.008725686809157
163,0.4375,49.161639886517825,9.987442362632667
164,0.5,41.590969849090676,9.97854481528138
165,0.375,53.740041766706725,9.999593985647776
166,0.25,60.09410724237126,10.004297612100073
167,0.1875,69.34982216656192,9.987667919131466
168,0.125,73.60257476700826,9.993084910491083
