sweep_window_ns,ber,energy_pj,window_ns
5.0,0.3125,30.074786715093765,5.020360182121712
5.0,0.4375,23.356038677695526,4.994960048916364
5.0,0.25,32.8667634748089,5.001447470471674
5.0,0.3125,30.073129030549584,4.980295667961966
5.0,0.375,27.65857731307561,5.009111258440443
5.0,0.3125,27.126870920286027,4.999845960629493
5.0,0.3125,28.89324440128694,4.99361905532326
5.0,0.25,31.91063884820975,5.01451587371846
5.0,0.375,26.863213627836583,4.992086479329246
5.0,0.25,32.03230119684148,4.997668916700216
5.0,0.3125,27.241240275860942,4.997582285042013
5.0,0.375,28.092048605092135,5.019283329444671
5.0,0.3125,29.44225251166131,5.00225942694089
5.0,0.4375,24.606105366133264,4.997292895789622
5.0,0.3125,29.75396524354997,5.000243930698629
5.0,0.375,26.609168658928812,5.007491231719365
5.0,0.125,38.08069698292918,4.999708276570012
5.0,0.25,28.094073333926715,4.997055850794417
5.0,0.5,21.43377714368224,5.0197381103528045
5.0,0.25,32.349504210247325,4.998357642176131
5.0,0.3125,30.012587894020246,4.989453757886663
5.0,0.4375,24.32259419231394,4.993001725753019
5.0,0.25,32.95005851028638,4.989601558996143
5.0,0.25,30.10059822085285,4.978979601640102
5.0,0.3125,29.013980638118706,4.998429976872279
5.0,0.25,31.250408191557536,4.995279130635865
5.0,0.1875,35.177132412991824,4.99347252688919
5.0,0.5625,19.920618632172157,4.998877979144333
5.0,0.3125,26.95093605231048,4.988665956999672
5.0,0.25,32.118870805907626,5.002679191243502
5.0,0.1875,32.53694818276069,5.007142792376935
5.0,0.3125,29.855742466177777,5.017976998377948
5.0,0.375,27.31833029733954,5.0076490055526826
5.0,0.125,37.83707456497901,5.013725442840973
5.0,0.3125,29.079851887325496,5.008580272441491
5.0,0.375,22.942662271348674,5.017291532286864
5.0,0.25,32.87853560764249,5.025990281447905
5.0,0.1875,35.955405100216936,5.017672952381553
5.0,0.0625,36.76134241884096,5.000308106817492
5.0,0.375,27.71418379198056,5.0183004916315355
5.0,0.3125,28.025293841205787,4.992656632252222
5.0,0.4375,25.795423733312685,4.995318382647736
5.0,0.1875,31.591058302327426,5.000316139548578
5.0,0.375,25.390198146851247,5.000857222752413
5.0,0.375,26.74378718788382,4.998112291448734
5.0,0.3125,29.94361537793988,4.994244849787244
5.0,0.4375,24.002015521809035,5.001090039895796
5.0,0.125,37.24954421676223,5.003341126329835
5.0,0.3125,29.404130055347995,4.988273342907332
5.0,0.4375,24.961229335556684,4.9973336037769025
5.0,0.4375,23.138908675409915,4.990672167339699
5.0,0.25,32.10691847437516,5.00614895616248
5.0,0.25,32.63067167818846,4.998176512022437
5.0,0.3125,28.70823907680656,5.0109454827523345
5.0,0.375,26.563616078886735,4.990859706436532
5.0,0.375,26.412509724402653,5.004357524435841
5.0,0.3125,29.565555961694113,5.005224548612095
5.0,0.375,26.840907705182012,5.006854393017617
5.0,0.375,25.884805792800528,4.992577846197744
5.0,0.3125,28.664036937241367,4.992376708143806
5.0,0.5625,19.78068945622653,5.010378782289026
5.0,0.4375,23.58196680300528,4.99988130469322
5.0,0.3125,28.612660141492626,4.996395399098531
5.0,0.3125,28.878944401028832,5.012607172829791
5.0,0.25,31.614317917342593,5.0215175897518005
5.0,0.125,37.7837293160331,4.990564491803757
5.0,0.125,36.65370284368441,4.992834640211704
5.0,0.125,38.176684783763505,4.992596769108881
5.0,0.4375,23.809823060417823,5.014056916228062
